,State,Year,Month,Day,Total_Cases,Total_Deaths,Total_Positives,Total_Negatives,Vaccine_Dist,Vaccine_Admin,Vaccine_Int,Vaccine_Complete,Add_Dose,Monthly Cases,Monthly Deaths,Monthly Positive,Monthly Negatives,Monthly Vaccine Completed
64,CA,2021,12,31,5515613.0,76709.0,5794783.0,100833787.0,76260895.0,66007187.0,32771983.0,26170768.0,8754917.0,430136.0,2039.0,673442.0,8555956.0,1212644.0
65,CO,2020,12,31,335579.0,4879.0,346204.0,3861435.0,277375.0,82694.0,0.0,0.0,0.0,-5180034.0,-71830.0,-5448579.0,-96972352.0,-26170768.0
66,CO,2021,1,31,397138.0,5711.0,402754.0,4747430.0,813400.0,569234.0,0.0,0.0,0.0,61559.0,832.0,56550.0,885995.0,0.0
67,CO,2021,2,28,430970.0,6045.0,431049.0,5425016.0,1700660.0,1371577.0,901484.0,0.0,0.0,33832.0,334.0,28295.0,677586.0,0.0
68,CO,2021,3,31,464782.0,6175.0,462815.0,6112349.0,3330360.0,2691248.0,1720668.0,1008589.0,0.0,33812.0,130.0,31766.0,687333.0,1008589.0
69,CO,2021,4,30,513752.0,6432.0,512543.0,6794096.0,5395910.0,4442828.0,2677574.0,1856500.0,0.0,48970.0,257.0,49728.0,681747.0,847911.0
70,CO,2021,5,31,546168.0,6723.0,544650.0,7379111.0,6773740.0,5613301.0,3121321.0,2611003.0,0.0,32416.0,291.0,32107.0,585015.0,754503.0
71,CO,2021,6,30,560927.0,6947.0,556160.0,7754303.0,7025015.0,6188964.0,3335253.0,2984290.0,0.0,14759.0,224.0,11510.0,375192.0,373287.0
72,CO,2021,7,31,578499.0,7097.0,575740.0,8108496.0,7263485.0,6473244.0,3472145.0,3134331.0,0.0,17572.0,150.0,19580.0,354193.0,150041.0
73,CO,2021,8,31,619083.0,7319.0,621094.0,8688082.0,7830075.0,6823463.0,3649243.0,3278325.0,0.0,40584.0,222.0,45354.0,579586.0,143994.0
74,CO,2021,9,30,674847.0,7731.0,681356.0,9471798.0,8145395.0,7177109.0,3777400.0,3419720.0,0.0,55764.0,412.0,60262.0,783716.0,141395.0
75,CO,2021,10,31,745569.0,8376.0,755670.0,10268191.0,9024035.0,7748753.0,3897674.0,3549708.0,451318.0,70722.0,645.0,74314.0,796393.0,129988.0
76,CO,2021,11,30,834363.0,9383.0,850537.0,11105140.0,10151485.0,8613796.0,4116507.0,3642399.0,1002034.0,88794.0,1007.0,94867.0,836949.0,92691.0
77,CO,2021,12,31,933257.0,10480.0,980360.0,11977026.0,10855475.0,9546052.0,4300086.0,3818578.0,1570580.0,98894.0,1097.0,129823.0,871886.0,176179.0
78,CT,2020,12,31,184884.0,5995.0,290624.0,4420728.0,145150.0,68040.0,0.0,0.0,0.0,-748373.0,-4485.0,-689736.0,-7556298.0,-3818578.0
79,CT,2021,1,31,249199.0,7046.0,368731.0,5458341.0,578600.0,436842.0,0.0,0.0,0.0,64315.0,1051.0,78107.0,1037613.0,0.0
80,CT,2021,2,28,279122.0,7622.0,405604.0,6467048.0,1198495.0,1004467.0,690663.0,0.0,0.0,29923.0,576.0,36873.0,1008707.0,0.0
81,CT,2021,3,31,310064.0,7886.0,438166.0,7398565.0,2426455.0,1954259.0,1262503.0,725544.0,0.0,30942.0,264.0,32562.0,931517.0,725544.0
82,CT,2021,4,30,338409.0,8097.0,466162.0,8285837.0,3875845.0,3220725.0,1952869.0,1372774.0,0.0,28345.0,211.0,27996.0,887272.0,647230.0
83,CT,2021,5,31,346517.0,8238.0,472787.0,8747004.0,4551515.0,4038384.0,2257725.0,1910663.0,0.0,8108.0,141.0,6625.0,461167.0,537889.0
